"","x"
"Li",20
"Be",3
"B",15
"N",NA
"F",NA
"S",NA
"Cl",NA
"Sc",13.6
"V",107
"Cr",85
"Co",17
"Ni",44
"Cu",25
"Zn",71
"Ga",17
"Ge",1.6
"As",1.5
"Se",0.05
"Br",NA
"Rb",112
"Sr",350
"Y",22
"Zr",190
"Nb",12
"Mo",1.5
"Ru",NA
"Pd",5e-04
"Ag",0.05
"Cd",0.098
"In",0.05
"Sn",5.5
"Sb",0.2
"I",NA
"Cs",4.6
"Ba",550
"La",30
"Ce",64
"Pr",7.1
"Nd",26
"Sm",4.5
"Eu",0.88
"Gd",3.8
"Tb",0.64
"Dy",3.5
"Ho",0.8
"Er",2.3
"Tm",0.33
"Yb",2.2
"Lu",0.32
"Hf",5.8
"Ta",1
"W",2
"Re",4e-04
"Os",5e-05
"Ir",2e-05
"Pt",0
"Au",0.00181
"Hg",NA
"Tl",0.75
"Pb",17
"Bi",0.13
"Th",10.7
"U",2.8
"SiO2",666200
"TiO2",6400
"Al2O3",154000
"FeO",50400
"MnO",1000
"MgO",24800
"CaO",35900
"Na2O",32700
"K2O",28000
"P2O5",1500
"Mg#",467000
